,T_prop_T2 (UTC),final_RAAN_T2,inc_degrees,angle_between_vernal_and_pm,long_ECI,del_RAAN
0,2023-03-18 23:41:00,200.30716072162295,9.986,176.28368055539306,250.5883560772407,-50.28119535561774
1,2023-03-18 23:46:00,200.28179024042498,9.986,177.53710290727707,249.33493372535668,-49.053143484931695
2,2023-03-18 23:51:00,200.25641975922707,9.986,178.79052525893945,248.0815113736943,-47.825091614467226
3,2023-03-18 23:56:00,200.23104927802922,9.986,180.0439476103732,246.82808902226054,-46.597039744231324
4,2023-03-19 00:01:00,200.2056787968313,9.986,181.29736996158323,245.57466667105052,-45.368987874219215
5,2023-03-19 00:06:00,200.18030831563334,9.986,182.550792312568,244.32124432006572,-44.140936004432376
6,2023-03-19 00:11:00,200.1549378344355,9.986,183.80421466332746,243.0678219693063,-42.91288413487081
7,2023-03-19 00:16:00,200.12956735323758,9.986,185.05763701386167,241.8143996187721,-41.68483226553451
8,2023-03-19 00:21:00,200.1041968720396,9.986,186.31105936417063,240.5609772684631,-40.45678039642348
9,2023-03-19 00:26:00,200.0788263908417,9.986,187.56448171425438,239.30755491837937,-39.22872852753767
10,2023-03-19 00:31:00,200.05345590964384,9.986,188.81790406411292,238.0541325685208,-38.000676658876955
11,2023-03-19 00:36:00,200.02808542844593,9.986,190.07132641374628,236.80071021888745,-36.77262479044151
12,2023-03-19 00:41:00,200.00271494724797,9.986,191.32474876315612,235.5472878694776,-35.544572922229634
13,2023-03-19 00:46:00,199.9773444660501,9.986,192.57817111233598,234.29386552029774,-34.31652105424763
14,2023-03-19 00:51:00,199.9519739848522,9.986,193.83159346129557,233.04044317133815,-33.08846918648595
15,2023-03-19 00:56:00,199.92660350365435,9.986,195.08501581002687,231.78702082260685,-31.8604173189525
16,2023-03-19 01:01:00,199.90123302245632,9.986,196.338438158538,230.53359847409573,-30.6323654516394
17,2023-03-19 01:06:00,199.87586254125847,9.986,197.5918605068176,229.28017612581613,-29.404313584557656
18,2023-03-19 01:11:00,199.85049206006056,9.986,198.84528285487545,228.02675377775827,-28.176261717697713
19,2023-03-19 01:16:00,199.8251215788627,9.986,200.09870520271,226.77333142992373,-26.948209851061023
20,2023-03-19 01:21:00,199.79975109766474,9.986,201.35212755031796,225.51990908231576,-25.720157984651024
21,2023-03-19 01:26:00,199.77438061646683,9.986,202.60554989769946,224.26648673493426,-24.492106118467433
22,2023-03-19 01:31:00,199.74901013526897,9.986,203.85897224485765,223.01306438777607,-23.264054252507094
23,2023-03-19 01:36:00,199.72363965407106,9.986,205.11239459179268,221.75964204084104,-22.03600238676998
24,2023-03-19 01:41:00,199.6982691728731,9.986,206.36581693850127,220.50621969413245,-20.807950521259357
25,2023-03-19 01:46:00,199.6728986916752,9.986,207.61923928498354,219.2527973476502,-19.579898655975
26,2023-03-19 01:51:00,199.64752821047733,9.986,208.87266163124264,217.9993750013911,-18.351846790913754
27,2023-03-19 01:56:00,199.62215772927948,9.986,210.1260839772771,216.74595265535663,-17.123794926077153
28,2023-03-19 02:01:00,199.59678724808145,9.986,211.3795063230885,215.49253030954523,-15.895743061463776
29,2023-03-19 02:06:00,199.5714167668836,9.986,212.63292866867369,214.23910796396004,-14.667691197076437
30,2023-03-19 02:11:00,199.5460462856857,9.986,213.88635101403267,212.98568561860105,-13.439639332915363
31,2023-03-19 02:16:00,199.52067580448784,9.986,215.13977335916877,211.73226327346495,-12.211587468977115
32,2023-03-19 02:21:00,199.4953053232898,9.986,216.39319570408037,210.47884092855335,-10.98353560526354
33,2023-03-19 02:26:00,199.46993484209196,9.986,217.64661804876755,209.22541858386617,-9.755483741774214
34,2023-03-19 02:31:00,199.4445643608941,9.986,218.9000403932287,207.97199623940503,-8.527431878510924
35,2023-03-19 02:36:00,199.4191938796962,9.986,220.15346273746871,206.718573895165,-7.299380015468813
36,2023-03-19 02:41:00,199.39382339849823,9.986,221.4068850814828,205.4651515511509,-6.071328152652683
37,2023-03-19 02:46:00,199.36845291730032,9.986,222.66030742527263,204.2117292073611,-4.843276290060771
38,2023-03-19 02:51:00,199.34308243610246,9.986,223.91372976883665,202.95830686379708,-3.6152244276946135
39,2023-03-19 02:56:00,199.31771195490455,9.986,225.16715211217806,201.70488452045566,-2.3871725655511113
40,2023-03-19 03:01:00,199.29234147370659,9.986,226.42057445529696,200.45146217733677,-1.1591207036301796
41,2023-03-19 03:06:00,199.26697099250873,9.986,227.67399679818857,199.19803983444515,0.06893115806357741
42,2023-03-19 03:11:00,199.24160051131082,9.986,228.9274191408578,197.94461749177592,1.2969830195349061
43,2023-03-19 03:16:00,199.21623003011297,9.986,230.18084148330303,196.6911951493307,2.525034880782272
44,2023-03-19 03:21:00,199.19085954891494,9.986,231.43426382552596,195.43777280710776,3.7530867418071807
45,2023-03-19 03:26:00,199.1654890677171,9.986,232.6876861675234,194.18435046511033,4.981138602606762
46,2023-03-19 03:31:00,199.14011858651918,9.986,233.94110850929374,192.93092812333998,6.209190463179198
47,2023-03-19 03:36:00,199.11474810532133,9.986,235.19453085084524,191.67750578178848,7.437242323532843
48,2023-03-19 03:41:00,199.08937762412336,9.986,236.44795319217138,190.42408344046234,8.665294183661018
49,2023-03-19 03:46:00,199.06400714292545,9.986,237.7013755332755,189.17066109935823,9.89334604356722
50,2023-03-19 03:51:00,199.0386366617276,9.986,238.95479787415113,187.9172387584826,11.121397903244997
51,2023-03-19 03:56:00,199.01326618052968,9.986,240.20822021480814,186.6638164178256,12.349449762704097
52,2023-03-19 04:01:00,198.98789569933172,9.986,241.46164255524002,185.4103940773937,13.577501621938012
53,2023-03-19 04:06:00,198.9625252181338,9.986,242.71506489544845,184.15697173718527,14.805553480948532
54,2023-03-19 04:11:00,198.93715473693595,9.986,243.9684872354319,182.90354939720183,16.033605339734123
55,2023-03-19 04:16:00,198.91178425573804,9.986,245.2219095751953,181.65012705743843,17.261657198299616
56,2023-03-19 04:21:00,198.88641377454007,9.986,246.47533191473386,180.39670471789987,18.48970905664021
57,2023-03-19 04:26:00,198.86104329334222,9.986,247.72875425404925,179.14328237858447,19.717760914757747
58,2023-03-19 04:31:00,198.8356728121443,9.986,248.9821765931431,177.88986003949063,20.94581277265368
59,2023-03-19 04:36:00,198.81030233094646,9.986,250.23559893201076,176.63643770062296,22.173864630323493
60,2023-03-19 04:41:00,198.78493184974843,9.986,251.48902127065531,175.3830153619784,23.401916487770023
61,2023-03-19 04:46:00,198.75956136855058,9.986,252.74244360908025,174.12959302355347,24.62996834499711
62,2023-03-19 04:51:00,198.73419088735267,9.986,253.99586594728075,172.87617068535297,25.858020201999693
63,2023-03-19 04:56:00,198.7088204061548,9.986,255.2492882852584,171.62274834737534,27.08607205877948
64,2023-03-19 05:01:00,198.68344992495685,9.986,256.50271062301175,170.36932600962197,28.314123915334875
65,2023-03-19 05:06:00,198.65807944375894,9.986,257.7561329605457,169.11590367208802,29.542175771670912
66,2023-03-19 05:11:00,198.63270896256108,9.986,259.00955529785546,167.86248133477827,30.770227627782816
67,2023-03-19 05:16:00,198.60733848136317,9.986,260.262977634941,166.6090589976927,31.998279483670473
68,2023-03-19 05:21:00,198.5819680001652,9.986,261.51639997180587,165.35563666082786,33.22633133933735
69,2023-03-19 05:26:00,198.5565975189673,9.986,262.76982230844834,164.10221432418538,34.45438319478191
70,2023-03-19 05:31:00,198.53122703776944,9.986,264.0232446448701,162.84879198776363,35.68243505000581
71,2023-03-19 05:36:00,198.5058565565716,9.986,265.2766669810665,161.5953696515672,36.910486905004376
72,2023-03-19 05:41:00,198.48048607537356,9.986,266.53008931704227,160.34194731559145,38.13853875978211
73,2023-03-19 05:46:00,198.4551155941757,9.986,267.78351165279605,159.08852497983767,39.36659061433804
74,2023-03-19 05:51:00,198.4297451129778,9.986,269.0369339883278,157.83510264430592,40.59464246867188
75,2023-03-19 05:56:00,198.40437463177994,9.986,270.29035632363775,156.58168030899597,41.822694322783974
76,2023-03-19 06:01:00,198.37900415058192,9.986,271.5437786587242,155.32825797390953,43.05074617667239
77,2023-03-19 06:06:00,198.35363366938407,9.986,272.79720099359207,154.07483563904165,44.278798030342415
78,2023-03-19 06:11:00,198.3282631881862,9.986,274.0506233282367,152.821413304397,45.506849883789215
79,2023-03-19 06:16:00,198.3028927069883,9.986,275.3040456626582,151.5679909699755,46.73490173701279
80,2023-03-19 06:21:00,198.27752222579034,9.986,276.55746799685977,150.31456863577395,47.96295359001638
81,2023-03-19 06:26:00,198.25215174459242,9.986,277.81089033083987,149.06114630179385,49.19100544279857
82,2023-03-19 06:31:00,198.22678126339457,9.986,279.0643126646003,147.8077239680334,50.41905729536117
83,2023-03-19 06:36:00,198.20141078219666,9.986,280.31773499813625,146.55430163449748,51.64710914769918
84,2023-03-19 06:41:00,198.1760403009987,9.986,281.5711573314526,145.30087930118114,52.87516099981755
85,2023-03-19 06:46:00,198.15066981980084,9.986,282.82457966454956,144.04745696808416,54.10321285171668
86,2023-03-19 06:51:00,198.12529933860293,9.986,284.07800199742394,142.79403463520978,55.331264703393146
87,2023-03-19 06:56:00,198.09992885740496,9.986,285.3314243300773,141.5406123025564,56.55931655484855
88,2023-03-19 07:01:00,198.07455837620705,9.986,286.5848466625083,140.2871899701254,57.78736840608164
89,2023-03-19 07:06:00,198.0491878950092,9.986,287.8382689947218,139.03376763791195,59.01542025709725
90,2023-03-19 07:11:00,198.0238174138113,9.986,289.09169132671144,137.78034530592228,60.243472107889005
